match_id,match_num,year,cup_name,round,date,time,team1,team2,team1_normalized,team2_normalized,team1_score_final,team2_score_final,total_goals_final,winner,loser,is_draw,goal_difference,group,ground,status,match_played,has_goals_events
1954_11,,1954,World Cup 1954,Matchday 1,1954-06-16,,Austria,Scotland,Austria,Scotland,1.0,0.0,1.0,Austria,Scotland,False,1.0,Group 3,"Hardturm Stadium, Zürich",played,True,False
1954_12,,1954,World Cup 1954,Matchday 2,1954-06-19,,Austria,Czechoslovakia,Austria,Czech Republic,5.0,0.0,5.0,Austria,Czech Republic,False,5.0,Group 3,"Hardturm Stadium, Zürich",played,True,False
1954_13,,1954,World Cup 1954,Matchday 2,1954-06-19,,Uruguay,Scotland,Uruguay,Scotland,7.0,0.0,7.0,Uruguay,Scotland,False,7.0,Group 3,"St. Jakob Stadium, Basel",played,True,False
1954_14,,1954,World Cup 1954,Matchday 1,1954-06-17,,England,Belgium,England,Belgium,4.0,4.0,8.0,,,True,0.0,Group 4,"St. Jakob Stadium, Basel",played,True,False
1954_15,,1954,World Cup 1954,Matchday 1,1954-06-17,,Switzerland,Italy,Switzerland,Italy,2.0,1.0,3.0,Switzerland,Italy,False,1.0,Group 4,"Stade Olympique de la Pontaise, Lausanne",played,True,False
1954_16,,1954,World Cup 1954,Matchday 2,1954-06-20,,England,Switzerland,England,Switzerland,2.0,0.0,2.0,England,Switzerland,False,2.0,Group 4,"Wankdorf Stadium, Bern",played,True,False
1954_17,,1954,World Cup 1954,Matchday 2,1954-06-20,,Italy,Belgium,Italy,Belgium,4.0,1.0,5.0,Italy,Belgium,False,3.0,Group 4,"Cornaredo Stadium, Lugano",played,True,False
1954_18,,1954,World Cup 1954,Group 4 Play-off,1954-06-23,,Switzerland,Italy,Switzerland,Italy,4.0,1.0,5.0,Switzerland,Italy,False,3.0,,"St. Jakob Stadium, Basel",played,True,False
1954_19,,1954,World Cup 1954,Quarter-finals,1954-06-26,,Austria,Switzerland,Austria,Switzerland,7.0,5.0,12.0,Austria,Switzerland,False,2.0,,"Stade Olympique de la Pontaise, Lausanne",played,True,False
1954_20,,1954,World Cup 1954,Quarter-finals,1954-06-26,,Uruguay,England,Uruguay,England,4.0,2.0,6.0,Uruguay,England,False,2.0,,"St. Jakob Stadium, Basel",played,True,False
1954_21,,1954,World Cup 1954,Quarter-finals,1954-06-27,,Yugoslavia,West Germany,Serbia,Germany,0.0,2.0,2.0,Germany,Serbia,False,2.0,,"Charmilles Stadium, Geneva",played,True,False
1954_22,,1954,World Cup 1954,Quarter-finals,1954-06-27,,Brazil,Hungary,Brazil,Hungary,2.0,4.0,6.0,Hungary,Brazil,False,2.0,,"Wankdorf Stadium, Bern",played,True,False
1954_23,,1954,World Cup 1954,Semi-finals,1954-06-30,,West Germany,Austria,Germany,Austria,6.0,1.0,7.0,Germany,Austria,False,5.0,,"St. Jakob Stadium, Basel",played,True,False
1954_24,,1954,World Cup 1954,Semi-finals,1954-06-30,,Hungary,Uruguay,Hungary,Uruguay,4.0,2.0,6.0,Hungary,Uruguay,False,2.0,,"Stade Olympique de la Pontaise, Lausanne",played,True,False
1954_25,,1954,World Cup 1954,Third-place match,1954-07-03,,Uruguay,Austria,Uruguay,Austria,1.0,3.0,4.0,Austria,Uruguay,False,2.0,,"Hardturm Stadium, Zürich",played,True,False
