match_id,year,cup_name,round,date,team,opponent,goals_for,goals_against,goal_difference,is_winner,is_draw,is_loser,match_played
1938_18,1938,World Cup 1938,Match for third place,1938-06-19,Brazil,Sweden,4,2,2,True,False,False,True
1938_19,1938,World Cup 1938,Final,1938-06-19,Hungary,Italy,2,4,-2,False,False,True,True
1938_19,1938,World Cup 1938,Final,1938-06-19,Italy,Hungary,4,2,2,True,False,False,True
1950_1,1950,World Cup 1950,First round,1950-06-24,Brazil,Mexico,4,0,4,True,False,False,True
1950_1,1950,World Cup 1950,First round,1950-06-24,Mexico,Brazil,0,4,-4,False,False,True,True
1950_2,1950,World Cup 1950,First round,1950-06-25,Yugoslavia,Switzerland,3,0,3,True,False,False,True
1950_2,1950,World Cup 1950,First round,1950-06-25,Switzerland,Yugoslavia,0,3,-3,False,False,True,True
1950_3,1950,World Cup 1950,First round,1950-06-28,Brazil,Switzerland,2,2,0,False,True,False,True
1950_3,1950,World Cup 1950,First round,1950-06-28,Switzerland,Brazil,2,2,0,False,True,False,True
1950_4,1950,World Cup 1950,First round,1950-06-28,Yugoslavia,Mexico,4,1,3,True,False,False,True
1950_4,1950,World Cup 1950,First round,1950-06-28,Mexico,Yugoslavia,1,4,-3,False,False,True,True
1950_5,1950,World Cup 1950,First round,1950-07-01,Brazil,Yugoslavia,2,0,2,True,False,False,True
1950_5,1950,World Cup 1950,First round,1950-07-01,Yugoslavia,Brazil,0,2,-2,False,False,True,True
1950_6,1950,World Cup 1950,First round,1950-07-02,Switzerland,Mexico,2,1,1,True,False,False,True
1950_6,1950,World Cup 1950,First round,1950-07-02,Mexico,Switzerland,1,2,-1,False,False,True,True
1950_7,1950,World Cup 1950,First round,1950-06-25,England,Chile,2,0,2,True,False,False,True
1950_7,1950,World Cup 1950,First round,1950-06-25,Chile,England,0,2,-2,False,False,True,True
1950_8,1950,World Cup 1950,First round,1950-06-25,Spain,United States,3,1,2,True,False,False,True
1950_8,1950,World Cup 1950,First round,1950-06-25,United States,Spain,1,3,-2,False,False,True,True
1950_9,1950,World Cup 1950,First round,1950-06-29,Spain,Chile,2,0,2,True,False,False,True
1950_9,1950,World Cup 1950,First round,1950-06-29,Chile,Spain,0,2,-2,False,False,True,True
1950_10,1950,World Cup 1950,First round,1950-06-29,United States,England,1,0,1,True,False,False,True
1950_10,1950,World Cup 1950,First round,1950-06-29,England,United States,0,1,-1,False,False,True,True
1950_11,1950,World Cup 1950,First round,1950-07-02,Spain,England,1,0,1,True,False,False,True
1950_11,1950,World Cup 1950,First round,1950-07-02,England,Spain,0,1,-1,False,False,True,True
1950_12,1950,World Cup 1950,First round,1950-07-02,Chile,United States,5,2,3,True,False,False,True
1950_12,1950,World Cup 1950,First round,1950-07-02,United States,Chile,2,5,-3,False,False,True,True
1950_13,1950,World Cup 1950,First round,1950-06-25,Sweden,Italy,3,2,1,True,False,False,True
1950_13,1950,World Cup 1950,First round,1950-06-25,Italy,Sweden,2,3,-1,False,False,True,True
1950_14,1950,World Cup 1950,First round,1950-06-29,Sweden,Paraguay,2,2,0,False,True,False,True
1950_14,1950,World Cup 1950,First round,1950-06-29,Paraguay,Sweden,2,2,0,False,True,False,True
1950_15,1950,World Cup 1950,First round,1950-07-02,Italy,Paraguay,2,0,2,True,False,False,True
1950_15,1950,World Cup 1950,First round,1950-07-02,Paraguay,Italy,0,2,-2,False,False,True,True
1950_16,1950,World Cup 1950,First round,1950-07-02,Uruguay,Bolivia,8,0,8,True,False,False,True
1950_16,1950,World Cup 1950,First round,1950-07-02,Bolivia,Uruguay,0,8,-8,False,False,True,True
1950_17,1950,World Cup 1950,Final Round,1950-07-09,Uruguay,Spain,2,2,0,False,True,False,True
1950_17,1950,World Cup 1950,Final Round,1950-07-09,Spain,Uruguay,2,2,0,False,True,False,True
1950_18,1950,World Cup 1950,Final Round,1950-07-09,Brazil,Sweden,7,1,6,True,False,False,True
1950_18,1950,World Cup 1950,Final Round,1950-07-09,Sweden,Brazil,1,7,-6,False,False,True,True
1950_19,1950,World Cup 1950,Final Round,1950-07-13,Brazil,Spain,6,1,5,True,False,False,True
1950_19,1950,World Cup 1950,Final Round,1950-07-13,Spain,Brazil,1,6,-5,False,False,True,True
1950_20,1950,World Cup 1950,Final Round,1950-07-13,Uruguay,Sweden,3,2,1,True,False,False,True
1950_20,1950,World Cup 1950,Final Round,1950-07-13,Sweden,Uruguay,2,3,-1,False,False,True,True
1950_21,1950,World Cup 1950,Final Round,1950-07-16,Sweden,Spain,3,1,2,True,False,False,True
1950_21,1950,World Cup 1950,Final Round,1950-07-16,Spain,Sweden,1,3,-2,False,False,True,True
1950_22,1950,World Cup 1950,Final Round,1950-07-16,Uruguay,Brazil,2,1,1,True,False,False,True
1950_22,1950,World Cup 1950,Final Round,1950-07-16,Brazil,Uruguay,1,2,-1,False,False,True,True
1954_1,1954,World Cup 1954,Matchday 1,1954-06-16,Brazil,Mexico,5,0,5,True,False,False,True
1954_1,1954,World Cup 1954,Matchday 1,1954-06-16,Mexico,Brazil,0,5,-5,False,False,True,True
1954_2,1954,World Cup 1954,Matchday 1,1954-06-16,Yugoslavia,France,1,0,1,True,False,False,True
1954_2,1954,World Cup 1954,Matchday 1,1954-06-16,France,Yugoslavia,0,1,-1,False,False,True,True
1954_3,1954,World Cup 1954,Matchday 2,1954-06-19,Brazil,Yugoslavia,1,1,0,False,True,False,True
1954_3,1954,World Cup 1954,Matchday 2,1954-06-19,Yugoslavia,Brazil,1,1,0,False,True,False,True
1954_4,1954,World Cup 1954,Matchday 2,1954-06-19,France,Mexico,3,2,1,True,False,False,True
1954_4,1954,World Cup 1954,Matchday 2,1954-06-19,Mexico,France,2,3,-1,False,False,True,True
1954_5,1954,World Cup 1954,Matchday 1,1954-06-17,West Germany,Turkey,4,1,3,True,False,False,True
1954_5,1954,World Cup 1954,Matchday 1,1954-06-17,Turkey,West Germany,1,4,-3,False,False,True,True
1954_6,1954,World Cup 1954,Matchday 1,1954-06-17,Hungary,South Korea,9,0,9,True,False,False,True
