match_id,year,cup_name,round,date,team1,team2,team1_score,team2_score,team1_ht_score,team2_ht_score,group,ground
1958_6,1958,World Cup 1958,Matchday 3,1958-06-15,Czechoslovakia,Argentina,6.0,1.0,,,Group 1,"Olympiastadion, Helsingborg"
1958_7,1958,World Cup 1958,Group 1 Play-off,1958-06-17,Northern Ireland,Czechoslovakia,1.0,1.0,,,,"Malmö Stadion, Malmö"
1958_8,1958,World Cup 1958,Matchday 1,1958-06-08,France,Paraguay,7.0,3.0,,,Group 2,"Idrottsparken, Norrköping"
1958_9,1958,World Cup 1958,Matchday 1,1958-06-08,Yugoslavia,Scotland,1.0,1.0,,,Group 2,"Arosvallen, Västerås"
1958_10,1958,World Cup 1958,Matchday 2,1958-06-11,Yugoslavia,France,3.0,2.0,,,Group 2,"Arosvallen, Västerås"
1958_11,1958,World Cup 1958,Matchday 2,1958-06-11,Paraguay,Scotland,3.0,2.0,,,Group 2,"Idrottsparken, Norrköping"
1958_12,1958,World Cup 1958,Matchday 3,1958-06-15,France,Scotland,2.0,1.0,,,Group 2,"Eyravallen, Örebro"
1958_13,1958,World Cup 1958,Matchday 3,1958-06-15,Paraguay,Yugoslavia,3.0,3.0,,,Group 2,"Tunavallen, Eskilstuna"
1958_14,1958,World Cup 1958,Matchday 1,1958-06-08,Sweden,Mexico,3.0,0.0,,,Group 3,"Råsunda Stadium, Solna"
1958_15,1958,World Cup 1958,Matchday 1,1958-06-08,Hungary,Wales,1.0,1.0,,,Group 3,"Jernvallen, Sandviken"
1958_16,1958,World Cup 1958,Matchday 2,1958-06-11,Mexico,Wales,1.0,1.0,,,Group 3,"Råsunda Stadium, Solna"
1958_17,1958,World Cup 1958,Matchday 2,1958-06-12,Sweden,Hungary,2.0,1.0,,,Group 3,"Råsunda Stadium, Solna"
1958_18,1958,World Cup 1958,Matchday 3,1958-06-15,Sweden,Wales,0.0,0.0,,,Group 3,"Råsunda Stadium, Solna"
1958_19,1958,World Cup 1958,Matchday 3,1958-06-15,Hungary,Mexico,4.0,0.0,,,Group 3,"Jernvallen, Sandviken"
1958_20,1958,World Cup 1958,Group 3 Play-off,1958-06-17,Wales,Hungary,2.0,1.0,,,,"Råsunda Stadium, Solna"
1958_21,1958,World Cup 1958,Matchday 1,1958-06-08,Brazil,Austria,3.0,0.0,,,Group 4,"Rimnersvallen, Uddevalla"
1958_22,1958,World Cup 1958,Matchday 1,1958-06-08,Soviet Union,England,2.0,2.0,,,Group 4,"Ullevi, Gothenburg"
1958_23,1958,World Cup 1958,Matchday 2,1958-06-11,Brazil,England,0.0,0.0,,,Group 4,"Ullevi, Gothenburg"
