match_id,year,round,team1_normalized,team2_normalized,team1_score_final,team2_score_final,target,team1_games,team1_wins,team1_goals_for,team1_goals_against,team1_goal_difference,team1_win_rate,team1_goals_per_game,team1_goals_against_per_game,team2_games,team2_wins,team2_goals_for,team2_goals_against,team2_goal_difference,team2_win_rate,team2_goals_per_game,team2_goals_against_per_game,win_rate_diff,goals_per_game_diff,goals_against_per_game_diff,goal_difference_diff,experience_diff
1938_11,1938,Quarter-finals,Brazil,Czech Republic,1.0,1.0,draw,114,76,237,108,129,0.6666666666666666,2.0789473684210527,0.9473684210526316,33,12,47,49,-2,0.3636363636363636,1.4242424242424243,1.4848484848484849,0.30303030303030304,0.6547049441786283,-0.5374800637958532,131,81
1938_12,1938,Quarter-finals,Switzerland,Hungary,0.0,2.0,team2_win,41,14,55,73,-18,0.3414634146341463,1.3414634146341464,1.7804878048780488,32,15,87,57,30,0.46875,2.71875,1.78125,-0.1272865853658537,-1.3772865853658536,-0.0007621951219511924,-48,9
1938_13,1938,Quarter-finals,Sweden,Cuba,8.0,0.0,team1_win,51,19,80,73,7,0.3725490196078431,1.568627450980392,1.431372549019608,3,1,5,12,-7,0.3333333333333333,1.6666666666666667,4.0,0.039215686274509776,-0.09803921568627483,-2.568627450980392,14,48
1938_14,1938,Quarter-finals,France,Italy,1.0,3.0,team2_win,73,39,136,85,51,0.5342465753424658,1.8630136986301369,1.1643835616438356,83,45,128,77,51,0.5421686746987951,1.5421686746987953,0.927710843373494,-0.00792209935632937,0.3208450239313416,0.23667271827034164,0,-10
1938_15,1938,"Quarter-finals, Replays",Brazil,Czech Republic,2.0,1.0,team1_win,114,76,237,108,129,0.6666666666666666,2.0789473684210527,0.9473684210526316,33,12,47,49,-2,0.3636363636363636,1.4242424242424243,1.4848484848484849,0.30303030303030304,0.6547049441786283,-0.5374800637958532,131,81
1938_16,1938,Semi-finals,Hungary,Sweden,5.0,1.0,team1_win,32,15,87,57,30,0.46875,2.71875,1.78125,51,19,80,73,7,0.3725490196078431,1.568627450980392,1.431372549019608,0.09620098039215691,1.150122549019608,0.3498774509803919,23,-19
1938_17,1938,Semi-finals,Italy,Brazil,2.0,1.0,team1_win,83,45,128,77,51,0.5421686746987951,1.5421686746987953,0.927710843373494,114,76,237,108,129,0.6666666666666666,2.0789473684210527,0.9473684210526316,-0.12449799196787148,-0.5367786937222574,-0.019657577679137672,-78,-31
1938_18,1938,Match for third place,Sweden,Brazil,2.0,4.0,team2_win,51,19,80,73,7,0.3725490196078431,1.568627450980392,1.431372549019608,114,76,237,108,129,0.6666666666666666,2.0789473684210527,0.9473684210526316,-0.29411764705882354,-0.5103199174406607,0.48400412796697645,-122,-63
1938_19,1938,Final,Hungary,Italy,2.0,4.0,team2_win,32,15,87,57,30,0.46875,2.71875,1.78125,83,45,128,77,51,0.5421686746987951,1.5421686746987953,0.927710843373494,-0.07341867469879515,1.1765813253012047,0.853539156626506,-21,-51
1950_1,1950,First round,Brazil,Mexico,4.0,0.0,team1_win,114,76,237,108,129,0.6666666666666666,2.0789473684210527,0.9473684210526316,60,17,62,101,-39,0.2833333333333333,1.0333333333333334,1.6833333333333331,0.3833333333333333,1.0456140350877192,-0.7359649122807015,168,54
1950_2,1950,First round,Serbia,Switzerland,3.0,0.0,team1_win,46,18,69,61,8,0.391304347826087,1.5,1.326086956521739,41,14,55,73,-18,0.3414634146341463,1.3414634146341464,1.7804878048780488,0.04984093319194066,0.15853658536585358,-0.4544008483563098,26,5
1950_3,1950,First round,Brazil,Switzerland,2.0,2.0,draw,114,76,237,108,129,0.6666666666666666,2.0789473684210527,0.9473684210526316,41,14,55,73,-18,0.3414634146341463,1.3414634146341464,1.7804878048780488,0.3252032520325203,0.7374839537869062,-0.8331193838254172,147,73
1950_4,1950,First round,Serbia,Mexico,4.0,1.0,team1_win,46,18,69,61,8,0.391304347826087,1.5,1.326086956521739,60,17,62,101,-39,0.2833333333333333,1.0333333333333334,1.6833333333333331,0.10797101449275365,0.46666666666666656,-0.3572463768115941,47,-14
1950_5,1950,First round,Brazil,Serbia,2.0,0.0,team1_win,114,76,237,108,129,0.6666666666666666,2.0789473684210527,0.9473684210526316,46,18,69,61,8,0.391304347826087,1.5,1.326086956521739,0.27536231884057966,0.5789473684210527,-0.3787185354691074,121,68
1950_6,1950,First round,Switzerland,Mexico,2.0,1.0,team1_win,41,14,55,73,-18,0.3414634146341463,1.3414634146341464,1.7804878048780488,60,17,62,101,-39,0.2833333333333333,1.0333333333333334,1.6833333333333331,0.058130081300812986,0.308130081300813,0.09715447154471568,21,-19
1950_7,1950,First round,England,Chile,2.0,0.0,team1_win,74,32,104,68,36,0.4324324324324324,1.4054054054054057,0.918918918918919,33,11,40,49,-9,0.3333333333333333,1.2121212121212122,1.4848484848484849,0.09909909909909909,0.19328419328419355,-0.5659295659295659,45,41
1950_8,1950,First round,Spain,United States,3.0,1.0,team1_win,67,31,108,75,33,0.4626865671641791,1.611940298507463,1.1194029850746268,10,3,14,29,-15,0.3,1.4,2.9,0.16268656716417912,0.211940298507463,-1.7805970149253731,48,57
1950_9,1950,First round,Spain,Chile,2.0,0.0,team1_win,67,31,108,75,33,0.4626865671641791,1.611940298507463,1.1194029850746268,33,11,40,49,-9,0.3333333333333333,1.2121212121212122,1.4848484848484849,0.1293532338308458,0.39981908638625074,-0.3654454997738581,42,34
1950_10,1950,First round,United States,England,1.0,0.0,team1_win,10,3,14,29,-15,0.3,1.4,2.9,74,32,104,68,36,0.4324324324324324,1.4054054054054057,0.918918918918919,-0.1324324324324324,-0.005405405405405794,1.981081081081081,-51,-64
1950_11,1950,First round,Spain,England,1.0,0.0,team1_win,67,31,108,75,33,0.4626865671641791,1.611940298507463,1.1194029850746268,74,32,104,68,36,0.4324324324324324,1.4054054054054057,0.918918918918919,0.030254134731746707,0.2065348931020572,0.2004840661557078,-3,-7
1950_12,1950,First round,Chile,United States,5.0,2.0,team1_win,33,11,40,49,-9,0.3333333333333333,1.2121212121212122,1.4848484848484849,10,3,14,29,-15,0.3,1.4,2.9,0.033333333333333326,-0.18787878787878776,-1.415151515151515,6,23
1950_13,1950,First round,Sweden,Italy,3.0,2.0,team1_win,51,19,80,73,7,0.3725490196078431,1.568627450980392,1.431372549019608,83,45,128,77,51,0.5421686746987951,1.5421686746987953,0.927710843373494,-0.16961965509095206,0.026458776281596652,0.5036617056461141,-44,-32
1950_14,1950,First round,Sweden,Paraguay,2.0,2.0,draw,51,19,80,73,7,0.3725490196078431,1.568627450980392,1.431372549019608,27,7,30,38,-8,0.2592592592592592,1.1111111111111112,1.4074074074074074,0.1132897603485839,0.45751633986928075,0.023965141612200647,15,24
1950_15,1950,First round,Italy,Paraguay,2.0,0.0,team1_win,83,45,128,77,51,0.5421686746987951,1.5421686746987953,0.927710843373494,27,7,30,38,-8,0.2592592592592592,1.1111111111111112,1.4074074074074074,0.28290941543953596,0.4310575635876841,-0.4796965640339135,59,56
1950_16,1950,First round,Uruguay,Bolivia,8.0,0.0,team1_win,59,25,89,76,13,0.423728813559322,1.5084745762711864,1.2881355932203389,6,0,1,20,-19,0.0,0.1666666666666666,3.3333333333333335,0.423728813559322,1.34180790960452,-2.045197740112995,32,53
1950_17,1950,Final Round,Uruguay,Spain,2.0,2.0,draw,59,25,89,76,13,0.423728813559322,1.5084745762711864,1.2881355932203389,67,31,108,75,33,0.4626865671641791,1.611940298507463,1.1194029850746268,-0.03895775360485709,-0.10346572223627648,0.16873260814571212,-20,-8
1950_18,1950,Final Round,Brazil,Sweden,7.0,1.0,team1_win,114,76,237,108,129,0.6666666666666666,2.0789473684210527,0.9473684210526316,51,19,80,73,7,0.3725490196078431,1.568627450980392,1.431372549019608,0.29411764705882354,0.5103199174406607,-0.48400412796697645,122,63
1950_19,1950,Final Round,Brazil,Spain,6.0,1.0,team1_win,114,76,237,108,129,0.6666666666666666,2.0789473684210527,0.9473684210526316,67,31,108,75,33,0.4626865671641791,1.611940298507463,1.1194029850746268,0.20398009950248752,0.46700706991358976,-0.17203456402199513,96,47
1950_20,1950,Final Round,Uruguay,Sweden,3.0,2.0,team1_win,59,25,89,76,13,0.423728813559322,1.5084745762711864,1.2881355932203389,51,19,80,73,7,0.3725490196078431,1.568627450980392,1.431372549019608,0.051179793951478925,-0.060152874709205495,-0.1432369557992692,6,8
1950_21,1950,Final Round,Sweden,Spain,3.0,1.0,team1_win,51,19,80,73,7,0.3725490196078431,1.568627450980392,1.431372549019608,67,31,108,75,33,0.4626865671641791,1.611940298507463,1.1194029850746268,-0.09013754755633602,-0.043312847527070986,0.3119695639449813,-26,-16
